Year,Month,Day,Hour,GHI,Wind Speed,Wind Direction,Relative Humidity,Temperature
2015,1,1,0,0,0.5,71.1,100,10
2015,1,1,1,0,0.5,77.8,100,9
2015,1,1,2,0,0.4,83.6,100,9
2015,1,1,3,0,0.2,93.4,100,8
2015,1,1,4,0,0.2,162.3,100,8
2015,1,1,5,0,0.4,221.8,100,7
2015,1,1,6,0,0.5,228.8,100,7
2015,1,1,7,39,0.6,221.2,97.32,9
2015,1,1,8,262,0.8,197.1,73.9,13
2015,1,1,9,491,1.1,161.9,50.45,16
2015,1,1,10,673,1.2,149.5,35.1,19
2015,1,1,11,793,1.2,150.2,31.73,20
2015,1,1,12,841,1.3,159,29.92,21
2015,1,1,13,813,1.5,170.7,30.64,21
2015,1,1,14,712,1.6,182.4,33.88,20
2015,1,1,15,548,1.5,190.4,37.46,19
2015,1,1,16,336,1,195.8,41.2,17
2015,1,1,17,106,0.6,196,60.42,14
2015,1,1,18,0,0.5,192.1,71.85,12
2015,1,1,19,0,0.7,188.5,75.99,11
2015,1,1,20,0,0.8,186.3,80.02,10
2015,1,1,21,0,0.9,183.4,83.97,9
2015,1,1,22,0,1,180.4,88.53,8
2015,1,1,23,0,1,180.7,88.4,8
2015,1,2,0,0,1.1,181.3,96.83,7
2015,1,2,1,0,1.2,180.1,100,7
2015,1,2,2,0,1.1,177.8,100,7
2015,1,2,3,0,1,177.5,100,7
2015,1,2,4,0,1,180,100,7
2015,1,2,5,0,1,183.7,100,7
2015,1,2,6,0,0.9,186.6,100,7
2015,1,2,7,37,1.3,190.2,95.78,10
2015,1,2,8,254,1.9,194,80.32,13
2015,1,2,9,479,2.2,197.1,61.09,16
2015,1,2,10,661,2.5,196.6,50.38,17
2015,1,2,11,782,2.7,199.7,46.67,18
2015,1,2,12,831,2.8,203.4,43.9,19
2015,1,2,13,804,2.9,205.8,44.27,19
2015,1,2,14,704,2.9,206.5,47.72,19
2015,1,2,15,540,2.7,205.5,51.26,18
2015,1,2,16,184,2.1,205.1,54.12,16
2015,1,2,17,104,1.2,206.4,68.92,13
2015,1,2,18,0,0.8,207.8,85.24,11
2015,1,2,19,0,0.8,209,83.72,10
2015,1,2,20,0,0.9,209.3,88.04,10
2015,1,2,21,0,1,212.7,93.06,9
2015,1,2,22,0,1.1,215.9,92.53,9
2015,1,2,23,0,1.1,215.4,98.91,8
2015,1,3,0,0,1,214.9,99.09,8
2015,1,3,1,0,1,216.4,99.66,8
2015,1,3,2,0,1,217.6,100,8
2015,1,3,3,0,1,213,100,7
2015,1,3,4,0,1,206.9,100,7
2015,1,3,5,0,1,202.9,100,7
2015,1,3,6,0,1,202,100,7
2015,1,3,7,37,1.4,204.7,94.86,9
2015,1,3,8,252,2,205.4,79.5,12
2015,1,3,9,474,2.3,210.4,67.86,14
2015,1,3,10,495,2.5,214.6,55.65,16
2015,1,3,11,680,2.4,216.4,50.52,17
2015,1,3,12,759,2.3,217.8,47.17,18
2015,1,3,13,705,2.2,218.5,47.64,18
2015,1,3,14,577,2,218.7,48.5,18
2015,1,3,15,541,1.5,219.6,52.06,17
2015,1,3,16,252,0.9,223.1,55.61,16
2015,1,3,17,57,0.6,230.3,71,14
2015,1,3,18,0,0.5,234.1,66.13,13
2015,1,3,19,0,0.2,239.6,67.31,13
2015,1,3,20,0,0.2,339.7,65.09,13
2015,1,3,21,0,0.4,6.5,68.19,12
2015,1,3,22,0,0.3,3,67.28,12
2015,1,3,23,0,0.3,25.7,71.08,11
2015,1,4,0,0,0.3,63,70.29,11
2015,1,4,1,0,0.4,74.1,74.47,10
2015,1,4,2,0,0.5,72.7,74.14,10
2015,1,4,3,0,0.6,55.6,79.43,9
2015,1,4,4,0,0.7,34.8,85.18,8
2015,1,4,5,0,0.8,24,90.84,7
2015,1,4,6,0,0.8,13.2,90.1,7
2015,1,4,7,24,1,9.9,80.44,9
2015,1,4,8,186,1.5,24.4,65.95,13
2015,1,4,9,291,1.9,47.2,57.73,16
2015,1,4,10,490,2.1,61.6,50.43,18
2015,1,4,11,577,2,67.1,46.59,19
2015,1,4,12,721,2,71.5,43.21,20
2015,1,4,13,656,2,75.8,42.67,20
2015,1,4,14,581,2,79.5,45.44,19
2015,1,4,15,358,2,75.9,49.15,18
2015,1,4,16,324,2,64.2,54.74,16
2015,1,4,17,95,2.1,48.9,75.45,14
2015,1,4,18,0,2.3,45.5,84.62,12
2015,1,4,19,0,2.4,48,88.95,11
2015,1,4,20,0,2.4,50.5,91.99,9
2015,1,4,21,0,2.4,53.9,100,8
2015,1,4,22,0,2.3,57.3,100,7
2015,1,4,23,0,2.2,58.2,97.27,7
2015,1,5,0,0,2.1,57.1,99.65,6
2015,1,5,1,0,2.1,56.5,95.64,6
2015,1,5,2,0,1.9,54.1,98.91,5
2015,1,5,3,0,1.7,49.3,96.02,5
2015,1,5,4,0,1.6,43.6,94.18,5
2015,1,5,5,0,1.5,41.7,93.03,5
2015,1,5,6,0,1.4,45.6,93.3,5
2015,1,5,7,7,1.5,46.7,87.85,6
2015,1,5,8,101,1.8,50.3,75.23,9
2015,1,5,9,139,2,57.8,68.04,12
2015,1,5,10,378,2.2,65.5,60.2,15
2015,1,5,11,351,2.3,73.6,54.64,17
2015,1,5,12,465,2.3,82.1,52.24,18
2015,1,5,13,211,2.3,86.2,57.04,17
2015,1,5,14,223,2.3,83.9,62.09,16
2015,1,5,15,343,2.3,76.7,70.59,14
2015,1,5,16,93,2.2,68.4,73.92,13
2015,1,5,17,22,2,62.1,82.46,11
2015,1,5,18,0,1.8,57.3,92.75,9
2015,1,5,19,0,1.5,56.6,96.51,8
2015,1,5,20,0,1.3,59.2,100,7
2015,1,5,21,0,1.4,64.3,97.12,6
2015,1,5,22,0,1.5,68.8,100,6
2015,1,5,23,0,1.5,69.6,98.55,6
2015,1,6,0,0,1.4,71.4,96.68,6
2015,1,6,1,0,1.3,72.8,95.85,5
2015,1,6,2,0,1.2,70.5,95.56,5
2015,1,6,3,0,1.1,72.5,100,5
2015,1,6,4,0,0.9,81.1,100,5
2015,1,6,5,0,0.8,84.9,100,5
2015,1,6,6,0,0.8,86.8,100,5
2015,1,6,7,36,1,85.6,88,7
2015,1,6,8,159,1.4,84.4,76.22,10
2015,1,6,9,299,1.7,88.6,63.36,13
2015,1,6,10,489,1.8,94.5,53.24,16
2015,1,6,11,672,1.7,97.2,50.17,18
2015,1,6,12,693,1.6,99.5,47.35,19
2015,1,6,13,551,1.5,100.5,44.89,20
2015,1,6,14,542,1.4,101.7,48.18,19
2015,1,6,15,365,1.2,96.9,51.91,18
2015,1,6,16,239,1.1,83.7,56.79,16
2015,1,6,17,86,1.1,59.9,74.65,14
2015,1,6,18,0,1.2,48.8,87.75,12
2015,1,6,19,0,1.3,46.3,93.88,11
2015,1,6,20,0,1.2,48.8,99.37,10
2015,1,6,21,0,1.1,55.2,97.75,10
2015,1,6,22,0,0.9,60.1,100,9
2015,1,6,23,0,0.7,59.3,100,8
2015,1,7,0,0,0.7,56,100,8
2015,1,7,1,0,0.8,52.6,100,8
2015,1,7,2,0,0.8,50.8,99.98,8
2015,1,7,3,0,0.8,47.9,100,7
2015,1,7,4,0,0.8,44.3,100,7
2015,1,7,5,0,0.8,41.4,100,7
2015,1,7,6,0,1,40.7,100,7
2015,1,7,7,12,1.4,41.8,94.9,8
2015,1,7,8,92,1.9,45.7,84.21,10
2015,1,7,9,228,2.2,51.4,68.16,12
2015,1,7,10,457,2.2,55.4,56.57,15
2015,1,7,11,658,2.1,57.8,50.07,16
2015,1,7,12,841,2.1,57.8,45.58,17
2015,1,7,13,817,2.1,55,42.58,18
