Year,Month,Day,Hour,GHI,Wind Speed,Wind Direction,Relative Humidity,Temperature
2015,2,15,0,0,0.5,155.3,87.98,9
2015,2,15,1,0,0.5,178.6,92.69,9
2015,2,15,2,0,0.5,202.3,91.33,9
2015,2,15,3,0,0.6,222.9,90.18,9
2015,2,15,4,0,0.6,246.6,89.39,8
2015,2,15,5,0,0.6,262.1,95.25,8
2015,2,15,6,0,0.5,273.5,94.83,8
2015,2,15,7,21,0.5,277.7,83.49,10
2015,2,15,8,45,0.7,259.7,67.2,12
2015,2,15,9,286,1,246.9,54.23,15
2015,2,15,10,483,1.4,246.8,46.1,17
2015,2,15,11,214,1.8,245.6,43.32,18
2015,2,15,12,680,2.2,242.5,40.45,19
2015,2,15,13,653,2.5,238.8,37.57,20
2015,2,15,14,393,2.8,236,36.9,20
2015,2,15,15,442,2.7,235.9,38.96,19
2015,2,15,16,358,2.2,238.6,41.97,18
2015,2,15,17,106,1.3,244.5,54.79,15
2015,2,15,18,0,0.7,251.6,67.07,13
2015,2,15,19,0,0.7,251.4,68.13,12
2015,2,15,20,0,0.7,244.6,72.82,12
2015,2,15,21,0,0.7,239.7,77.66,11
2015,2,15,22,0,0.7,236.7,77.38,11
2015,2,15,23,0,0.7,231.9,82.64,10
2015,2,16,0,0,0.7,230.9,82.81,10
2015,2,16,1,0,0.8,236.7,83.72,10
2015,2,16,2,0,0.8,246.8,84.7,10
2015,2,16,3,0,0.7,253.4,91.42,9
2015,2,16,4,0,0.6,256.4,91.48,9
2015,2,16,5,0,0.6,259,91.06,9
2015,2,16,6,0,0.6,262.6,90.71,9
2015,2,16,7,59,0.9,255.2,80.42,11
2015,2,16,8,298,1.5,236.6,65.94,13
2015,2,16,9,540,2.2,231.6,56.15,16
2015,2,16,10,740,2.9,230.5,44.56,18
2015,2,16,11,879,3.3,230.2,38.06,19
2015,2,16,12,784,3.4,229.5,34.65,20
2015,2,16,13,741,3.4,229.1,34.83,20
2015,2,16,14,696,3.3,229.6,35.21,20
2015,2,16,15,605,3,233.2,35.65,19
2015,2,16,16,217,2.5,239.6,38.57,18
2015,2,16,17,93,1.7,247.3,48.88,16
2015,2,16,18,0,1.1,255.8,60.88,14
2015,2,16,19,0,1,262.5,66.63,13
2015,2,16,20,0,0.9,265.5,72.89,12
2015,2,16,21,0,0.7,260.7,79.96,11
2015,2,16,22,0,0.4,255.5,81.15,11
2015,2,16,23,0,0.3,261.7,80.79,11
2015,2,17,0,0,0.3,263.2,85.44,10
2015,2,17,1,0,0.3,265.7,84.38,10
2015,2,17,2,0,0.3,275.4,83.68,10
2015,2,17,3,0,0.4,291.9,82.82,10
2015,2,17,4,0,0.5,267.1,76.61,11
2015,2,17,5,0,0.6,248.6,81.41,10
2015,2,17,6,0,0.7,232.2,80.81,10
2015,2,17,7,5,1,223.7,72.96,12
2015,2,17,8,158,1.5,233.5,60.04,15
2015,2,17,9,540,1.8,239.1,51.71,17
2015,2,17,10,739,1.9,241.9,47.16,18
2015,2,17,11,423,1.9,244.9,41.15,19
2015,2,17,12,750,1.8,249,38.49,20
2015,2,17,13,526,1.8,253.9,38.34,21
2015,2,17,14,652,1.7,257.4,35.9,21
2015,2,17,15,560,1.6,264.9,38.13,21
2015,2,17,16,339,1.2,275.6,40.56,20
2015,2,17,17,220,0.6,289.2,53.17,17
2015,2,17,18,0,0.3,300.9,65.63,15
2015,2,17,19,0,0.5,354.8,67.86,14
2015,2,17,20,0,0.8,21.6,72.08,13
2015,2,17,21,0,0.9,19.3,76.75,12
2015,2,17,22,0,0.9,14.9,76.69,12
2015,2,17,23,0,0.7,18,77.43,12
2015,2,18,0,0,0.3,30,78,12
2015,2,18,1,0,0.2,57.5,83.84,11
