Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Wind Speed,Wind Direction,Relative Humidity,Temperature,Pressure,
2019,1,1,0,30,0,0,0,1.1,153,67.8,9.4,784,N/A
2019,1,1,1,30,0,0,0,1.1,168,69.26,9.1,784,N/A
2019,1,1,2,30,0,0,0,1.1,179,70.81,9,784,N/A
2019,1,1,3,30,0,0,0,1,187,72.4,9,784,N/A
2019,1,1,4,30,0,0,0,0.9,193,74.34,8.9,784,N/A
2019,1,1,5,30,0,0,0,0.8,193,75.31,8.8,784,N/A
2019,1,1,6,30,0,0,0,0.6,185,73.98,8.8,784,N/A
2019,1,1,7,30,26,302,44,0.7,174,62.97,10.9,785,N/A
2019,1,1,8,30,55,761,262,1,166,50.51,14.8,785,N/A
2019,1,1,9,30,69,913,486,1,167,34.77,18.3,785,N/A
2019,1,1,10,30,77,982,669,0.9,184,26.93,20.7,785,N/A
2019,1,1,11,30,84,1010,789,0.9,208,23.87,22.3,784,N/A
2019,1,1,12,30,88,1015,837,0.9,229,22.54,23.2,783,N/A
2019,1,1,13,30,131,913,787,0.9,248,22.2,23.6,783,N/A
2019,1,1,14,30,240,565,602,0.6,306,22.82,23.4,782,N/A
2019,1,1,15,30,204,371,394,0.5,203,24.51,22.5,782,N/A
2019,1,1,16,30,77,712,318,0.5,38,30.38,20,783,N/A
2019,1,1,17,30,42,462,104,0.4,26,45.3,18.2,783,N/A
2019,1,1,18,30,0,0,0,0.2,77,56.73,14.2,784,N/A
2019,1,1,19,30,0,0,0,0.3,192,59.88,13.2,784,N/A
2019,1,1,20,30,0,0,0,0.4,274,61.27,12.4,785,N/A
2019,1,1,21,30,0,0,0,0.3,283,62.99,11.6,785,N/A
2019,1,1,22,30,0,0,0,0.2,263,66.65,10.7,785,N/A
2019,1,1,23,30,0,0,0,0.4,233,70.66,9.7,785,N/A
2019,1,2,0,30,0,0,0,0.5,222,73.83,8.8,785,N/A
2019,1,2,1,30,0,0,0,0.7,214,74.45,8.4,785,N/A
2019,1,2,2,30,0,0,0,0.9,210,73.11,8.3,785,N/A
2019,1,2,3,30,0,0,0,1,204,71.12,8.1,784,N/A
2019,1,2,4,30,0,0,0,1.1,194,69.88,8,784,N/A
2019,1,2,5,30,0,0,0,1,187,69.35,7.8,784,N/A
2019,1,2,6,30,0,0,0,0.9,184,67.94,8,785,N/A
2019,1,2,7,30,23,362,45,0.9,179,62.03,10.1,786,N/A
2019,1,2,8,30,52,751,255,1.1,170,55,13.8,787,N/A
2019,1,2,9,30,59,936,486,1.3,164,44.07,17.1,787,N/A
2019,1,2,10,30,93,924,650,1.7,164,35.71,19.5,786,N/A
2019,1,2,11,30,309,447,621,2.1,171,32.05,21.1,785,N/A
2019,1,2,12,30,383,229,552,2.3,179,31.05,21.8,784,N/A
2019,1,2,13,30,356,315,583,2.5,184,31.53,21.8,783,N/A
2019,1,2,14,30,266,404,526,2.3,188,33.3,21.2,783,N/A
2019,1,2,15,30,216,81,258,2,200,35.48,20.4,783,N/A
2019,1,2,16,30,116,444,267,1.3,219,39.93,18.7,783,N/A
2019,1,2,17,30,40,427,98,0.9,228,50.65,17.5,784,N/A
2019,1,2,18,30,0,0,0,0.9,240,57.22,14,785,N/A
2019,1,2,19,30,0,0,0,0.9,238,57.38,13.2,785,N/A
2019,1,2,20,30,0,0,0,0.9,235,57.94,12.5,785,N/A
2019,1,2,21,30,0,0,0,0.8,234,58.88,11.9,785,N/A
2019,1,2,22,30,0,0,0,0.5,242,61.72,11.1,785,N/A
2019,1,2,23,30,0,0,0,0.4,265,63.92,10.5,785,N/A
2019,1,3,0,30,0,0,0,0.4,289,65.35,10,785,N/A
2019,1,3,1,30,0,0,0,0.5,304,66.59,9.6,784,N/A
2019,1,3,2,30,0,0,0,0.7,309,68.12,9.1,784,N/A
2019,1,3,3,30,0,0,0,0.7,308,68.4,8.8,784,N/A
2019,1,3,4,30,0,0,0,0.7,305,67.37,8.7,784,N/A
2019,1,3,5,30,0,0,0,0.6,301,65.5,8.7,784,N/A
2019,1,3,6,30,0,0,0,0.6,297,62.26,9,785,N/A
2019,1,3,7,30,18,9,19,0.5,264,54.77,10.8,786,N/A
2019,1,3,8,30,87,28,95,0.8,238,48.34,14,787,N/A
2019,1,3,9,30,205,210,301,1.1,252,38.15,17.4,787,N/A
2019,1,3,10,30,234,469,517,1.2,271,30.41,20.1,786,N/A
2019,1,3,11,30,305,442,614,1.3,284,27.08,21.8,785,N/A
2019,1,3,12,30,323,485,682,1.3,289,25.02,22.9,784,N/A
2019,1,3,13,30,310,495,667,1.2,288,24.3,23.3,784,N/A
2019,1,3,14,30,276,447,564,1,288,24.43,23.2,783,N/A
2019,1,3,15,30,92,854,532,1,297,25.71,22.4,783,N/A
2019,1,3,16,30,74,732,325,0.7,312,30.84,20,784,N/A
2019,1,3,17,30,52,234,84,0.5,320,45.58,18.2,784,N/A
2019,1,3,18,30,0,0,0,0.3,324,55.8,14.5,785,N/A
2019,1,3,19,30,0,0,0,0.4,187,54.87,13.9,785,N/A
2019,1,3,20,30,0,0,0,0.6,46,55.33,13.2,786,N/A
2019,1,3,21,30,0,0,0,0.7,65,56.28,12.5,786,N/A
2019,1,3,22,30,0,0,0,0.6,93,57.21,11.9,786,N/A
